"Board Quantity","Ordering Quantity","Value","Reference","ATTRITION","CAPACITANCE","DKPN","MANUFACTURER","MOPN","MPN","POWER","RESISTANCE","TEENSY","TOLERANCE","VOLTAGE","VOLTAGE_CONTINUOUS","VOLTAGE_MAX",
"1","11","CAPACITOR_0603_10V_0.1UF","C2","1000","0.1µF","720-1688-1-ND","Vishay Vitramon","77-VJ0603Y104JXQPBC","VJ0603Y104JXQPW1BC","","","","5%","10V","","",
"1","11","CAPACITOR_0603_10V_10NF","C1","1000","10nF","311-4054-1-ND","Yageo","603-CC603KRX7R6BB103","CC0603KRX7R6BB103","","","","10%","10V","","",
"1","11","CAPACITOR_0603_10V_1UF","C4","1000","1µF","311-1796-1-ND","Yageo","603-CC603KRX7R6BB105","CC0603KRX7R6BB105","","","","10%","10V","","",
"2","12","CAPACITOR_0603_10V_4.7UF","C3, C5","500","4.7µF","1276-1044-1-ND","Samsung Electro-Mechanics","187-CL10A475KP8NNNC","CL10A475KP8NNNC","","","","10%","10V","","",
"12","14","CONNECTOR_3__0.1"_INCH_TH","J1, J2, J3, J4, J5, J6, J7, J8, J9, J10, J11, J12","17","","","","","TSW-103-23-T-S","","","","","","","",
"1","3","ICM-42605","U1","200","","","","","ICM-42605","","","","","","","",
"6","16","RESISTOR_0603_10K","R1, R3, R5, R7, R9, R11","167","","311-10.0KHRCT-ND","Yageo","603-RC0603FR-0710KL","RC0603FR-0710KL","0.1W","10k","","1%","","31.62V","75V",
"6","16","RESISTOR_0603_15K","R2, R4, R6, R8, R10, R12","167","","P15KBDCT-ND","Panasonic Electronic Components","667-ERA-3ARB153V","ERA-3ARB153V","0.1W","15k","","0.1%","","38.73V","75V",
"1","3","TEENSY_4.0","A1","200","","","","","","","","4.0","","","","",
"1","6","VOLTAGE_REGULATOR_SOT-23-5_5V","U2","500","","497-ST732M50RTR-ND","STMicroelectronics","511-ST732M50R","ST732M50R","","","","","","","",
